item_id,pedido_id,produto_id,quantidade,preco_unitario
1,1,2,3,39.90
2,2,6,2,219.00
3,2,16,2,39.90
4,3,13,1,49.90
5,3,13,2,49.90
6,4,5,1,189.90
7,4,10,1,69.90
8,4,2,3,39.90
9,4,2,3,39.90
10,5,6,1,219.00
11,5,3,1,79.90
12,5,3,3,79.90
13,5,3,3,79.90
14,6,2,3,39.90
15,6,3,2,79.90
16,7,9,1,179.00
17,7,11,1,54.90
18,7,9,2,179.00
19,8,11,1,54.90
20,8,1,2,149.90
21,8,4,1,259.00
22,8,7,3,89.90
23,9,12,2,89.90
24,9,6,2,219.00
25,10,10,3,69.90
26,11,5,2,189.90
27,12,9,3,179.00
28,12,16,2,39.90
29,13,2,1,39.90
30,13,11,1,54.90
31,13,9,1,179.00
32,14,4,1,259.00
33,15,5,2,189.90
34,15,5,1,189.90
35,15,10,2,69.90
36,16,12,3,89.90
37,17,6,1,219.00
38,17,14,1,199.90
39,18,9,1,179.00
40,18,4,2,259.00
41,19,15,2,149.90
42,19,10,1,69.90
43,20,11,2,54.90
44,20,3,2,79.90
45,20,12,3,89.90
46,20,13,3,49.90
47,21,6,3,219.00
48,21,9,1,179.00
49,21,4,3,259.00
50,22,4,2,259.00
51,22,7,2,89.90
52,22,2,3,39.90
53,22,14,1,199.90
54,23,14,1,199.90
55,23,11,3,54.90
56,23,11,3,54.90
57,24,14,2,199.90
58,24,13,3,49.90
59,24,10,3,69.90
60,25,10,2,69.90
61,25,1,2,149.90
62,26,15,2,149.90
63,26,15,3,149.90
64,26,7,3,89.90
65,27,10,3,69.90
66,28,8,3,129.90
67,29,1,1,149.90
68,29,8,2,129.90
69,30,14,3,199.90
70,30,7,3,89.90
71,30,13,2,49.90
72,30,13,1,49.90
73,31,14,1,199.90
74,32,2,3,39.90
75,32,8,1,129.90
76,32,15,1,149.90
77,32,15,3,149.90
78,33,14,3,199.90
79,33,15,1,149.90
80,33,16,2,39.90
81,33,9,1,179.00
82,34,8,2,129.90
83,34,15,1,149.90
84,34,10,1,69.90
85,34,9,2,179.00
86,35,8,2,129.90
87,35,5,3,189.90
88,36,15,2,149.90
89,36,2,1,39.90
90,36,14,2,199.90
91,37,16,1,39.90
92,37,12,2,89.90
93,37,13,2,49.90
94,37,8,2,129.90
95,38,13,2,49.90
96,39,15,1,149.90
97,39,1,2,149.90
98,40,14,1,199.90
99,41,11,1,54.90
100,41,15,2,149.90
101,41,11,2,54.90
102,41,9,2,179.00
103,42,2,2,39.90
104,43,8,1,129.90
105,44,16,3,39.90
106,44,4,3,259.00
107,45,6,3,219.00
108,45,4,1,259.00
