pedido_id,cliente_id,data_pedido,status
1,29,2026-07-28,cancelado
2,35,2026-07-01,concluido
3,14,2026-07-13,concluido
4,30,2026-03-14,cancelado
5,21,2026-01-02,pendente
6,16,2026-04-04,pendente
7,43,2026-05-19,cancelado
8,9,2026-06-21,concluido
9,17,2026-02-12,concluido
10,35,2026-06-10,pendente
11,7,2026-02-09,concluido
12,19,2026-05-07,concluido
13,4,2026-01-21,concluido
14,48,2026-04-18,concluido
15,45,2026-02-18,concluido
16,3,2026-03-07,concluido
17,27,2026-05-24,concluido
18,12,2026-06-11,concluido
19,3,2026-07-16,concluido
20,15,2026-01-22,concluido
21,35,2026-03-01,concluido
22,28,2026-03-24,concluido
23,34,2026-07-18,concluido
24,8,2026-06-10,cancelado
25,9,2026-02-14,concluido
26,19,2026-02-14,pendente
27,31,2026-07-26,concluido
28,43,2026-06-20,concluido
29,20,2026-02-26,concluido
30,40,2026-07-25,concluido
31,10,2026-06-23,concluido
32,12,2026-07-23,cancelado
33,34,2026-05-20,concluido
34,41,2026-03-25,cancelado
35,21,2026-05-03,concluido
36,14,2026-01-14,concluido
37,50,2026-05-23,concluido
38,15,2026-03-14,concluido
39,43,2026-06-26,concluido
40,38,2026-05-22,concluido
41,30,2026-02-02,concluido
42,17,2026-07-03,concluido
43,15,2026-06-03,concluido
44,2,2026-05-05,concluido
45,14,2026-04-23,concluido
46,38,2026-01-10,pendente
47,39,2026-07-04,pendente
48,28,2026-06-12,concluido
49,41,2026-07-15,concluido
50,38,2026-03-11,concluido
51,16,2026-07-15,pendente
52,17,2026-03-09,pendente
53,27,2026-04-18,concluido
54,16,2026-03-22,pendente
55,45,2026-04-09,concluido
56,35,2026-07-23,concluido
57,47,2026-05-25,cancelado
58,20,2026-01-23,cancelado
59,19,2026-06-05,concluido
60,19,2026-04-16,concluido
61,26,2026-04-03,pendente
62,37,2026-03-03,concluido
63,39,2026-07-20,concluido
64,48,2026-01-25,concluido
65,16,2026-02-18,concluido
66,39,2026-04-10,concluido
67,30,2026-01-22,concluido
68,10,2026-03-27,concluido
69,20,2026-05-24,pendente
70,26,2026-03-17,cancelado
71,6,2026-02-22,pendente
72,3,2026-07-25,concluido
73,31,2026-03-14,concluido
74,43,2026-04-27,cancelado
75,21,2026-03-11,concluido
76,49,2026-04-21,concluido
77,36,2026-02-10,concluido
78,27,2026-01-08,concluido
79,31,2026-04-08,concluido
80,18,2026-07-26,concluido
81,38,2026-06-16,concluido
82,45,2026-02-19,concluido
83,31,2026-06-26,concluido
84,34,2026-04-01,concluido
85,6,2026-07-11,cancelado
86,41,2026-06-10,concluido
87,49,2026-06-23,concluido
88,23,2026-03-14,concluido
89,12,2026-01-20,concluido
90,30,2026-06-09,concluido
91,29,2026-03-19,concluido
92,25,2026-05-12,pendente
93,44,2026-07-24,concluido
94,49,2026-06-25,concluido
95,29,2026-01-19,concluido
96,27,2026-02-07,concluido
97,22,2026-07-04,concluido
98,44,2026-06-22,concluido
99,24,2026-06-24,concluido
100,15,2026-06-03,concluido
101,32,2026-01-04,concluido
102,48,2026-06-18,concluido
103,40,2026-04-09,concluido
104,44,2026-03-18,concluido
105,13,2026-01-28,concluido
106,41,2026-05-01,concluido
107,14,2026-07-28,concluido
108,35,2026-03-26,concluido
109,1,2026-03-26,concluido
110,27,2026-05-04,concluido
111,43,2026-05-10,concluido
112,26,2026-04-22,concluido
113,40,2026-06-19,cancelado
114,45,2026-01-28,cancelado
115,22,2026-07-15,concluido
116,31,2026-01-03,concluido
117,48,2026-06-12,concluido
118,8,2026-04-12,concluido
119,20,2026-03-04,pendente
120,7,2026-03-28,cancelado
121,43,2026-07-23,concluido
122,45,2026-07-10,concluido
123,10,2026-06-21,concluido
124,27,2026-04-11,concluido
125,10,2026-02-25,pendente
126,29,2026-06-14,concluido
127,19,2026-06-22,pendente
128,14,2026-07-05,concluido
129,9,2026-04-18,concluido
130,5,2026-07-11,pendente
131,11,2026-07-20,concluido
132,26,2026-05-03,concluido
133,41,2026-01-17,cancelado
134,7,2026-02-09,concluido
135,50,2026-06-16,concluido
136,41,2026-03-26,concluido
137,5,2026-03-15,concluido
138,19,2026-01-21,concluido
139,10,2026-01-15,concluido
140,29,2026-04-17,cancelado
